Timestamp,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,rotationRateX,rotationRateY,rotationRateZ,attitudeRoll,attitudePitch,attitudeYaw
1687105653.667251,-0.8820770978927612,0.4630350172519684,-0.08682375401258469,0.005017220973968506,0.023506641387939453,0.013551004230976105,0.23597070574760437,-0.11588530242443085,-0.009669357910752296,-1.4726813545647057,-0.4814163474012465,-0.7207946268656167
1687105653.667704,-0.8821976184844971,0.46286022663116455,-0.08653096109628677,0.018657028675079346,-7.647275924682617e-05,0.02424454689025879,0.27503472566604614,-0.13117967545986176,0.01595897227525711,-1.4730233918050772,-0.4812191590443938,-0.7065302723925531
1687105653.692976,-0.8823619484901428,0.46282175183296204,-0.08505076915025711,-0.007027268409729004,-0.01808905601501465,0.017912007868289948,0.21410082280635834,-0.14212407171726227,0.004051048308610916,-1.4747033064744581,-0.48117577269959316,-0.6933189844264459
1687105653.787084,-0.8829497694969177,0.46185868978500366,-0.08417870104312897,-0.02490234375,0.0012302100658416748,0.00896812230348587,0.2691502273082733,-0.1629757285118103,0.005117710679769516,-1.4757455685754413,-0.48008963253966597,-0.678816092772295
1687105653.787825,-0.8832497596740723,0.46163511276245117,-0.08223450928926468,-0.017583191394805908,-0.009898781776428223,-0.0043591782450675964,0.20062044262886047,-0.157464861869812,0.027194183319807053,-1.4779594836632917,-0.47983759483620225,-0.6655525562652355
1687105653.8418632,-0.8829240798950195,0.462567001581192,-0.0804777666926384,0.017644047737121582,-0.003536909818649292,-0.013104431331157684,0.2463170886039734,-0.1457241326570511,0.05871988460421562,-1.479898373861068,-0.4808883905665196,-0.6531349752997474
1687105653.875756,-0.8818947076797485,0.4648025631904602,-0.07886921614408493,-0.0016807317733764648,-0.03657996654510498,-0.010196387767791748,0.14710581302642822,-0.11774501204490662,0.05895623937249184,-1.4816020577328808,-0.4834116150075171,-0.6423525463121906
1687105653.934331,-0.8812660574913025,0.46586713194847107,-0.07961273193359375,-0.018117547035217285,-0.029633671045303345,-0.008140623569488525,0.21467234194278717,-0.09781874716281891,0.028934292495250702,-1.4807018431295136,-0.48461431930246934,-0.6307227539590549
1687105653.961652,-0.881618082523346,0.46501871943473816,-0.0806664526462555,-0.0028118491172790527,-0.058570414781570435,0.00673753023147583,0.08664406836032867,-0.07463367283344269,-0.006550596561282873,-1.4795522058091757,-0.48365575619337753,-0.6211130708127482
1687105654.022429,-0.8829047083854675,0.4627110958099365,-0.07985907793045044,-0.0003959536552429199,-0.049182742834091187,0.01613832265138626,0.03961477801203728,-0.06836658716201782,-0.046800415962934494,-1.4805914013457944,-0.4810509252602079,-0.617102496678582
1687105654.051903,-0.8851989507675171,0.4588417112827301,-0.07672696560621262,-0.00463259220123291,-0.04276511073112488,0.021017074584960938,-0.007746613584458828,-0.09487893432378769,-0.07528891414403915,-1.484334770242093,-0.4766911515410532,-0.6163312537861789
1687105654.113196,-0.8876028060913086,0.4550938010215759,-0.07107070088386536,-0.003937840461730957,-0.03965801000595093,0.019602768123149872,0.0027598233427852392,-0.12402044236660004,-0.07525202631950378,-1.490896402280028,-0.4724775429394378,-0.6181478466430618
1687105654.144861,-0.8903501629829407,0.45033419132232666,-0.06690064072608948,-0.021255671977996826,-0.015550315380096436,0.0076201558113098145,0.17140796780586243,-0.12819308042526245,-0.09679673612117767,-1.4957975668086307,-0.4671395849325695,-0.6137823888044788
1687105654.2023392,-0.8933347463607788,0.4447745680809021,-0.06425530463457108,-0.02689230442047119,-0.023128509521484375,0.006653308868408203,0.13832403719425201,-0.1018923744559288,-0.09805654734373093,-1.4989925201058445,-0.4609225602802441,-0.6061953309780729
1687105654.323573,-0.8957275748252869,0.44002893567085266,-0.06361269950866699,-0.004662990570068359,0.003955960273742676,0.0028826668858528137,0.21569153666496277,-0.10004185140132904,-0.06374364346265793,-1.4998974532409406,-0.4556308955542261,-0.5962131020384643
1687105654.3266401,-0.897060215473175,0.43745550513267517,-0.0625741258263588,-0.0068398118019104,-0.012650877237319946,0.0032784417271614075,0.10498899221420288,-0.09913215786218643,-0.013355173170566559,-1.5011544758935613,-0.45276709927035524,-0.586602692714852
1687105654.443025,-0.8972206115722656,0.43750816583633423,-0.05984749272465706,-0.020412445068359375,-0.008980393409729004,6.347894668579102e-05,0.08557481318712234,-0.08553245663642883,0.01840941421687603,-1.5041917856298657,-0.4528256872741672,-0.5826487270371147
1687105654.444223,-0.8970350623130798,0.4380934238433838,-0.05832653120160103,-0.020613133907318115,-0.009535163640975952,0.0009076632559299469,0.048513464629650116,-0.07209067046642303,0.03061021864414215,-1.5058662665776172,-0.4534766263837977,-0.5771674165817333
1687105654.564591,-0.8965132236480713,0.43933773040771484,-0.056975413113832474,-0.012803733348846436,0.003380686044692993,0.002898160368204117,0.09618644416332245,-0.04936353489756584,0.044911328703165054,-1.5073294530325614,-0.45486131957051207,-0.5736837549579842
1687105654.567956,-0.8955355882644653,0.4413081407546997,-0.05712069571018219,-0.005770385265350342,0.003500699996948242,0.013922996819019318,0.05676420405507088,-0.04290619120001793,0.0645640641450882,-1.5070987800036204,-0.45705593653062876,-0.5681746871999788
1687105654.655582,-0.8940989375114441,0.44436612725257874,-0.05591023713350296,-0.0018209218978881836,0.005722343921661377,0.019167065620422363,0.029720867052674294,-0.0445321649312973,0.06685111671686172,-1.5083451484879047,-0.4604665630884077,-0.5655096383437284
